year,operator_id,operator_name,n_ccns,n_states,state_codes,cbsa_codes,Gross Patient Revenues Title XVIII Medicare,Gross Patient Revenues Title XIX Medicaid,Gross Patient Revenues Other,Gross Patient Revenues Total,Net Patient Revenues (line 1 minus line 2) XVIII Medicare,Net Patient Revenues (line 1 minus line 2) XIX Medicaid,Net Patient Revenues (line 1 minus line 2) Other,Net Patient Revenues (line 1 minus line 2) Total,Total Cost,Total HHA Medicare Program Cost,"Total, Total Visits",Total Episodes-Total Visits,Total Episodes-Total Charges,Less Total Operating Expenses (sum of lines 4 through 16),Net Income from service to patients (line 3 minus line 17),Net Income or Loss for the period (line 18 plus line 32),Total Assets,Total Liabilities,Fund Balance,Total PPS Payment - full episodes/periods without outliers,Total PPS Payment - full episodes/periods with outliers,Total PPS Payment - LUPA episodes/periods,Total PPS Payment - PEP episodes/periods,Total Hospice Days Total,Total Hospice Expenses
2020,71,HOME CARE SERVICES OF NORTHWEST INDI,1,1,IN,33140,915104.0,506827.0,601524.0,2023455.0,915104.0,506827.0,601524.0,2023455.0,1722013.0,452014.0,18343.0,3823.0,699055.0,2151283.0,-127828.0,-59450.0,818773.0,622315.0,196458.0,850924.0,5930.0,9906.0,4545.0,0.0,0.0
2020,72,ALTOMAR NEW MEXICO,1,1,NM,29740,599039.0,0.0,2341219.0,2940258.0,573350.0,0.0,1136545.0,1709895.0,1707999.0,355762.0,16427.0,3461.0,604843.0,1715416.0,-5521.0,170075.0,429095.0,237442.0,191653.0,509589.0,15558.0,9498.0,0.0,0.0,0.0
2020,73,EBE HEALTHCARE LLC,1,1,OH,18140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,74,MYG VENTURES INC,1,1,TX,32580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,75,REDEEMED HEALTH SERVICES INC.,1,1,TX,26420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,76,REGENCY HOME HEALTH OF SCHULENBURG,1,1,TX,99999,1041221.0,0.0,99076.0,1140297.0,1041221.0,0.0,99076.0,1140297.0,1145526.0,1013264.0,6576.0,5804.0,1410275.0,1169898.0,-29601.0,6564.0,443005.0,782588.0,-339583.0,1103527.0,30246.0,6448.0,1189.0,0.0,0.0
2020,77,DHC DIVINE HEALTH CARE  LLC,1,1,TX,32580,1226128.0,0.0,0.0,1226128.0,1226128.0,0.0,0.0,1226128.0,791930.0,728558.0,6953.0,6226.0,1143610.0,792109.0,434019.0,434019.0,364652.0,147102.0,217550.0,1348694.0,13838.0,1939.0,2126.0,0.0,0.0
2020,78,CARE IV HOME HEALTH,4,1,AR,26300|26420|40780,5632709.0,363880.0,2616095.0,8612684.0,5632709.0,363880.0,2616095.0,8612684.0,6688997.0,5120415.0,43883.0,30388.0,4659882.0,7008379.0,1604305.0,1604305.0,21675240.0,5561044.0,16114196.0,5650973.0,120998.0,105340.0,86719.0,0.0,0.0
2020,79,AMERICAN HOME HEALTH SERVICES  INC.,2,2,AZ|IN,16980|38060,1650864.0,0.0,28810.0,1679674.0,1608815.0,0.0,28810.0,1637625.0,1562799.0,1562776.0,8915.0,8550.0,1024132.0,1708044.0,-70419.0,22149.0,76880.0,64135.0,12745.0,1410756.0,188824.0,5416.0,8809.0,0.0,0.0
2020,80,ABIDING AT HOME,1,1,IN,26900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
